Country,Year,Guests
ALBANIA,2018,476
ALBANIA,2019,469
ALBANIA,2020,372
ALBANIA,2021,546
ALBANIA,2022,683
ALBANIA,2018,421
ALBANIA,2019,430
ALBANIA,2020,350
ALBANIA,2021,517
ALBANIA,2022,644
ALGERIA,2018,"3,679"
ALGERIA,2019,"3,719"
ALGERIA,2020,"1,389"
ALGERIA,2022,"2,848"
ANGOLA,2018,715
ANGOLA,2019,741
ANGOLA,2020,265
ANGOLA,2021,299
ANGOLA,2022,719
ANGOLA,2018,264
ANGOLA,2019,240
ANGOLA,2020,196
ANGOLA,2021,216
ANGOLA,2022,421
ARGENTINA,2018,"16,330"
ARGENTINA,2019,"16,289"
ARGENTINA,2020,"4,669"
ARGENTINA,2021,"10,389"
ARGENTINA,2022,"16,604"
AUSTRALIA,2018,"44,390"
AUSTRALIA,2019,"48,492"
AUSTRALIA,2020,"25,177"
AUSTRALIA,2021,"30,856"
AUSTRALIA,2022,"47,026"
AUSTRALIA,2018,"36,591"
AUSTRALIA,2019,"40,088"
AUSTRALIA,2020,"19,102"
AUSTRALIA,2021,"23,403"
AUSTRALIA,2022,"37,727"
AUSTRIA,2018,"14,033"
AUSTRIA,2019,"14,312"
AUSTRIA,2020,"9,939"
AUSTRIA,2021,"9,416"
AUSTRIA,2022,"13,580"
AUSTRIA,2018,"10,912"
AUSTRIA,2019,"11,144"
AUSTRIA,2020,"7,236"
AUSTRIA,2021,"7,042"
AUSTRIA,2022,"10,505"
AZERBAIJAN,2018,515
AZERBAIJAN,2019,603
AZERBAIJAN,2020,401
AZERBAIJAN,2021,901
AZERBAIJAN,2022,789
BAHRAIN,2018,117
BAHRAIN,2019,138
BAHRAIN,2020,134
BAHRAIN,2021,187
BAHRAIN,2018,86
BAHRAIN,2019,100
BELARUS,2018,"2,629"
BELARUS,2019,"2,717"
BELARUS,2020,"2,215"
BELARUS,2021,"2,894"
BELARUS,2022,"2,888"
BELARUS,2018,970
BELARUS,2019,965
BELARUS,2020,751
BELARUS,2021,"1,073"
BELARUS,2022,"1,101"
BELGIUM,2018,"8,441"
BELGIUM,2019,"8,714"
BELGIUM,2020,"4,792"
BELGIUM,2021,"7,729"
BELGIUM,2022,"9,406"
BELGIUM,2018,"4,801"
BELGIUM,2019,"4,954"
BELGIUM,2020,"2,538"
BELGIUM,2021,"3,996"
BELGIUM,2022,"5,077"
"BOLIVIA, PLURINATIONAL STATE OF",2018,"1,553"
